,safegraph_place_id,location_name,street_address,city,region,postal_code,iso_country_code,safegraph_brand_ids,brands,date_range_start,date_range_end,visits_by_each_hour,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_week_brand,first_two_digits,string_cbg
0,sg:01c146f7217e488ab72f09aacdc37582,Carlsbad Kickboxing Club,5751 Palmer Way Ste F,Carlsbad,CA,92010,US,,,2020-09-14T00:00:00-07:00,2020-09-21T00:00:00-07:00,"[0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",60730198063,"{""060730171102"":4,""060730178112"":4,""060730200212"":4,""060730178091"":4}","{""060730200212"":4,""060730178112"":4,""060730200231"":4,""060730193032"":4}","{""US"":14}",7108,82,"{""<5"":0,""5-20"":4,""21-60"":10,""61-240"":20,"">240"":7}","{""7-Eleven"":50,""Weight Watchers"":25,""Quality Inn"":25,""Chick-fil-A"":23,""Chevron"":19,""Burger King"":19,""Ahern Rentals"":17,""Yogurtland"":17,""In-N-Out Burger"":17}","{""McDonald's"":31,""In-N-Out Burger"":26,""ARCO"":20,""Costco Wholesale Corp."":18,""Taco Bell"":17,""The Home Depot"":17,""Chick-fil-A"":17,""Yogurtland"":13,""Stater Bros. Markets"":13,""76"":13,""Jack in the Box"":13,""7-Eleven"":12,""Shell Oil"":9,""Ortho Mattress"":7,""Ahern Rentals"":7,""Lamps Plus"":7,""Eureka!"":7,""G&M"":7,""Porters"":7,""2nd Wind Exercise Equipment"":7}",60,60730198063
1,sg:059973ee74ec4015b933a711490d3540,Mohnacky Animal Hospitals of Carlsbad,2505 S Vista Way,Oceanside,CA,92008,US,,,2020-09-14T00:00:00-07:00,2020-09-21T00:00:00-07:00,"[0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0]",60730185043,"{""060730215003"":4,""060730178082"":4,""060530116041"":4}","{""060730200131"":4,""060730189031"":4,""060730178013"":4}","{""US"":11}",11466,19,"{""<5"":0,""5-20"":13,""21-60"":2,""61-240"":4,"">240"":2}","{""Costco Wholesale Corp."":33,""Starbucks"":32}","{""Starbucks"":37,""Barnes and Noble"":25,""Costco Wholesale Corp."":23,""Crunch"":17,""Vons"":17,""In-N-Out Burger"":16,""Michaels Stores"":16,""Chevron"":15,""Marukai"":8,""Swami's Cafe"":8,""Wolfgang Puck"":8,""Kahoots Pet Products"":8,""Equinox Fitness Clubs"":8,""West Marine"":8,""Rubio's Restaurants"":8,""Big O Tires"":8,""Russell Cellular"":8,""Pacific Sales"":8,""MGM Resorts"":8,""DoubleTree by Hilton"":8}",60,60730185043
2,sg:0f5e95637196464da9a21aacc92fe8c7,Fragrance Outlet,5600 Paseo del Norte Ste 122A,Carlsbad,CA,92008,US,SG_BRAND_50f19efaf9b23400,Fragrance Outlet,2020-09-14T00:00:00-07:00,2020-09-21T00:00:00-07:00,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]",60730221001,"{""060590320513"":4}","{""060730083351"":5}",{},,30.5,"{""<5"":0,""5-20"":1,""21-60"":1,""61-240"":0,"">240"":0}",{},{},60,60730221001
3,sg:1af3019343a54cea90b059cc6e01ed80,Del Cerro Pool,6475 Del Cerro Blvd,San Diego,CA,92120,US,,,2020-09-14T00:00:00-07:00,2020-09-21T00:00:00-07:00,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",60730097062,{},{},"{""US"":5}",,52,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":1,"">240"":0}",{},{},60,60730097062
4,sg:25edc64569784e79a0d53831d3d74ed3,Cypress Canyon Np,11470 Cypress Canyon Park Dr # 92131,San Diego,CA,92131,US,,,2020-09-14T00:00:00-07:00,2020-09-21T00:00:00-07:00,"[0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,2,1,3,0,0,0,0,0,0]",60730170441,"{""060730170461"":4,""060730170422"":4,""060730170421"":4,""060730095041"":4,""060730170532"":4,""060730170441"":4,""060730170451"":4,""060730170522"":4,""060730170471"":4}","{""060730170211"":5,""060730170462"":5,""060730212042"":4,""060730170471"":4,""060730170441"":4,""060730170431"":4,""060730170473"":4,""060730170451"":4}","{""US"":39}",3206,37,"{""<5"":2,""5-20"":23,""21-60"":22,""61-240"":17,"">240"":7}","{""Joe & The Juice"":10,""The Cheesecake Factory"":10,""Carl's Jr."":10,""CVS"":9,""Starbucks"":8,""Loving Hut Vegan Cuisine"":8,""Corner Bakery Cafe"":8,""Westfield"":8,""Whataburger"":7,""Shell Oil"":6}","{""Starbucks"":15,""Chick-fil-A"":9,""Costco Wholesale Corp."":7,""Westfield"":7,""In-N-Out Burger"":7,""Costco Gasoline"":7,""Simon mall"":6}",60,60730170441
5,sg:295cfe987c6e418a8eb6c8a59a1b3bc4,Saint Peter Thrift Store,520 S Main Ave,Fallbrook,CA,92028,US,,,2020-09-14T00:00:00-07:00,2020-09-21T00:00:00-07:00,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",60730189042,{},{},{},,199,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":1,"">240"":0}",{},{},60,60730189042
6,sg:2ba2fb79670043f6bc3925bdbe2c0f03,ARCO,1501 Melrose Dr,Oceanside,CA,92056,US,SG_BRAND_99b3a2abb4050d5bef6da28efdc9552f,ARCO,2020-09-14T00:00:00-07:00,2020-09-21T00:00:00-07:00,"[0,0,0,0,0,0,2,1,0,0,1,1,0,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,1,1,0,1,1,0,0,3,2,2,3,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,2,1,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,2,1,2,0,1,2,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,0,0,0,1,3,2,0,0,0]",60730194033,"{""060730193032"":10,""060730194031"":6,""060730170393"":5,""060650432481"":4,""060730194052"":4,""060730192061"":4,""060730200183"":4,""060730170222"":4,""060730200173"":4,""060730194062"":4,""060730185071"":4,""060730193033"":4,""060730193013"":4,""060730193011"":4,""060730193012"":4}","{""060730193032"":7,""060730100121"":5,""060730193031"":5,""060730194031"":4,""060730186143"":4,""060730193033"":4,""060730200172"":4,""060730193013"":4,""060730198031"":4,""060730193011"":4,""060730195031"":4,""060730171061"":4,""060730193023"":4,""060730193012"":4,""060730215001"":4,""060730200223"":4,""060730194033"":4,""060730200232"":4,""060730197022"":4}","{""US"":94}",3324,7,"{""<5"":9,""5-20"":87,""21-60"":7,""61-240"":1,"">240"":2}","{""Chick-fil-A"":13,""Brookdale Senior Living"":10,""Rosa's Cafe"":10,""Albertsons"":8,""Motel 6"":8,""International Trucks"":8,""The Home Depot"":7,""Barbeques Galore"":6,""Chevron"":6,""Del Taco"":5,""Ace Hardware"":5}","{""Starbucks"":16,""Target"":11,""The Home Depot"":11,""Vons"":11,""7-Eleven"":11,""Jack in the Box"":10,""McDonald's"":10,""Walmart"":10,""76"":9,""Del Taco"":8,""Shell Oil"":7,""Subway"":7,""Costco Wholesale Corp."":7,""Albertsons"":7,""Carl's Jr."":7,""CVS"":7,""Circle K"":6,""Stater Bros. Markets"":6,""Chick-fil-A"":6,""In-N-Out Burger"":6}",60,60730194033
7,sg:3da4e7347bf84411a980c5a2cb41ae17,San Diego Jump Company,2733 Via Orange Way Ste 110,Spring Valley,CA,91978,US,,,2020-09-14T00:00:00-07:00,2020-09-21T00:00:00-07:00,"[0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",60730135053,{},{},"{""US"":4}",,50.5,"{""<5"":0,""5-20"":0,""21-60"":1,""61-240"":1,"">240"":0}",{},{},60,60730135053
8,sg:583d1f7644ca4edfa9f8ed08195ffe70,West Elm,5080 Mission Center Rd,San Diego,CA,92108,US,SG_BRAND_baad614ebcf27444a29c358f9ef22b73,West Elm,2020-09-14T00:00:00-07:00,2020-09-21T00:00:00-07:00,"[0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0]",60730093042,"{""060372962203"":7,""060730007001"":4,""060730133114"":4,""060730056002"":4,""060730098051"":4}","{""060730083123"":4,""060730191013"":4}","{""US"":22}",23115,26.5,"{""<5"":1,""5-20"":11,""21-60"":11,""61-240"":1,"">240"":8}","{""Westfield"":100,""PetSmart"":50,""Starbucks"":38,""The Container Store"":33,""Trader Joe's"":25,""Costco Wholesale Corp."":24,""Shake Shack"":12,""Valero Energy"":12,""T.J. Maxx"":12}","{""Westfield"":100,""Simon mall"":20,""Costco Wholesale Corp."":19,""Starbucks"":16,""Target"":13,""The Container Store"":12,""HomeGoods"":12,""T.J. Maxx"":11,""CVS"":10,""The Home Depot"":10,""Brigatine Seafood and Oyster Bar"":8,""The Flame Broiler"":8,""Peet's Coffee and Tea"":8,""DSW (Designer Shoe Warehouse)"":8,""Vons"":8,""Ralphs"":8,""Kaiser Permanente"":8,""Marshalls"":8,""ARCO"":8,""Panera Bread"":8}",60,60730093042
9,sg:5ed3b604e7b2435ca9543972b8c6d7b9,Coronado Museum Of History And Art,1100 Orange Ave,Coronado,CA,92118,US,,,2020-09-14T00:00:00-07:00,2020-09-21T00:00:00-07:00,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0]",60730218001,"{""080590098362"":4}","{""470930059032"":4}","{""US"":7}",61082,40,"{""<5"":0,""5-20"":2,""21-60"":5,""61-240"":1,"">240"":1}","{""DCH Auto Group"":33}","{""Vons"":25,""In-N-Out Burger"":25,""Best Buy"":25,""ARCO"":25,""Subway"":22,""DCH Auto Group"":12,""Submarina California Subs"":12,""zpizza"":12,""Cheba Hut"":12,""Pump & Pantry"":12,""Rubio's Restaurants"":12,""Navy Exchange"":12,""Sleep Number"":12,""Marriott Hotels"":12,""Smart & Final"":12,""Huddle House"":12,""Macy's"":12,""Sprouts Farmers Market"":12,""LA Fitness"":12,""Courtyard by Marriott"":12}",60,60730218001
10,sg:6000c5d1f8e144c88e81d2b6fa28f804,ARCO,9108 Campo Rd,Casa de Oro-Mount Helix,CA,91977,US,SG_BRAND_99b3a2abb4050d5bef6da28efdc9552f,ARCO,2020-09-14T00:00:00-07:00,2020-09-21T00:00:00-07:00,"[0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,1,1,2,3,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0]",60730137012,"{""060730138012"":6,""060730137023"":4,""060730027051"":4,""060730213022"":4,""060730139072"":4,""060730164025"":4,""060730139051"":4,""060730136052"":4,""040210017041"":4,""060730213021"":4,""060730137011"":4,""060730101092"":4}","{""060730139061"":4,""060730144001"":4,""060730135033"":4,""060730135032"":4,""320030005153"":4,""060730161001"":4}","{""US"":64}",4118,6,"{""<5"":5,""5-20"":63,""21-60"":4,""61-240"":3,"">240"":0}","{""Pick Up Stix"":17,""Goodwill Industries"":12,""Starbucks"":10,""Burger Lounge"":10,""Pep Boys"":10,""Rite Aid"":8,""Navy Exchange"":7,""Westfield"":7,""Walmart"":7}","{""7-Eleven"":19,""Subway"":19,""Westfield"":17,""Starbucks"":16,""Target"":15,""The Home Depot"":14,""McDonald's"":14,""Jack in the Box"":12,""Carl's Jr."":11,""Costco Wholesale Corp."":11,""Food 4 Less"":10,""Walmart"":10,""Wienerschnitzel"":7,""Ralphs"":7,""Chevron"":7,""Baskin Robbins"":7,""Costco Gasoline"":7,""Simon mall"":6,""KFC"":6,""Grocery Outlet"":6}",60,60730137012
11,sg:62a4f1c0bede40448d8c57517762d894,Cafe Rosarita,1816 Oceanside Blvd Ste A,Oceanside,CA,92054,US,,,2020-09-14T00:00:00-07:00,2020-09-21T00:00:00-07:00,"[0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0]",60730185091,"{""060730185152"":4,""060730186112"":4,""471450302011"":4,""060730182001"":4,""060730184001"":4,""060650420143"":4,""060730184003"":4,""060730178014"":4}","{""060379011022"":4,""060730184001"":4,""060730091042"":4,""060730187001"":4,""060730198051"":4,""060730192032"":4}","{""US"":39}",6919,21.5,"{""<5"":0,""5-20"":19,""21-60"":14,""61-240"":6,"">240"":1}","{""99 Cents Only Stores"":20,""76"":20,""Domino's Pizza"":20,""7-Eleven"":20,""Target"":15,""Wendy's"":10,""McDonald's"":8}","{""Chevron"":19,""ARCO"":15,""Burn Boot Camp"":13,""Firestone Complete Auto Care"":13,""Shell Oil"":12,""El Pollo Loco"":10,""99 Cents Only Stores"":10,""Del Taco"":10,""McDonald's"":9,""7-Eleven"":9,""Target"":9,""CVS"":8,""In-N-Out Burger"":7,""76"":7,""Walmart"":7,""Starbucks"":6,""Costco Wholesale Corp."":6,""Wendy's"":5,""Lamps Plus"":5,""G&M"":5}",60,60730185091
12,sg:682bacdd9454400a90899b77632d8d78,ZLAC Rowing Club,1111 Pacific Beach Dr,San Diego,CA,92109,US,,,2020-09-14T00:00:00-07:00,2020-09-21T00:00:00-07:00,"[0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,3,3,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,3,0,1,0,0,0]",60730077011,"{""060730083271"":4,""482659604023"":4,""060730202132"":4,""060710083014"":4,""060730170321"":4}","{""060730192032"":4,""484391065114"":4,""060590994023"":4,""060730079102"":4,""061070020042"":4,""060730083583"":4,""060730079082"":4}","{""US"":26}",32904,40,"{""<5"":2,""5-20"":17,""21-60"":18,""61-240"":13,"">240"":2}","{""Costco Wholesale Corp."":19,""Bad Axe Throwing"":14,""Walgreens"":8,""Shell Oil"":7}","{""Starbucks"":21,""Westfield"":11,""Target"":11,""In-N-Out Burger"":10,""Costco Wholesale Corp."":9,""Brigatine Seafood and Oyster Bar"":7,""Rubio's Restaurants"":7,""Stater Bros. Markets"":7,""Vons"":7,""Shell Oil"":7,""ALDI"":6,""Circle K"":6,""7-Eleven"":6,""Goodwill Industries"":6,""Valero Energy"":6,""Chevron"":6}",60,60730077011
13,sg:6a66323d3ff34d7596fe8b88a2cbabb9,Cafe Rae,1421 N El Camino Real,San Clemente,CA,92672,US,,,2020-09-14T00:00:00-07:00,2020-09-21T00:00:00-07:00,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",60590421071,"{""060590320231"":4,""040159532003"":4}","{""060590423122"":5}","{""US"":4}",5037,10,"{""<5"":0,""5-20"":5,""21-60"":1,""61-240"":0,"">240"":1}",{},"{""Panera Bread"":28,""Starbucks"":24,""McDonald's"":20,""Satellite Health"":14,""Macaroni Grill"":14,""Baja Fresh"":14,""The Flame Broiler"":14,""N̩kter Juice Bar"":14,""Peet's Coffee and Tea"":14,""Round Table Pizza"":14,""Lifetime Fitness"":14,""El Pollo Loco"":14,""Ralphs"":14,""Residence Inn by Marriott"":14,""Club Pilates"":14,""Fry's Food & Drug Stores"":14,""Fresenius Kidney Care"":14,""Wells Fargo"":14,""In-N-Out Burger"":14,""Hampton"":14}",60,60590421071
14,sg:78040b94e3374f6a9171cbc71c716795,St Kieran's Pre School,1347 Camillo Way,El Cajon,CA,92021,US,,,2020-09-14T00:00:00-07:00,2020-09-21T00:00:00-07:00,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",60730164013,"{""060730007001"":4}",{},{},,9,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",{},{},60,60730164013
15,sg:92303a2d0b324f9484f02e6cfa8acae6,First Chinese Southern Baptist Church,3319 Clairemont Mesa Blvd,San Diego,CA,92117,US,,,2020-09-14T00:00:00-07:00,2020-09-21T00:00:00-07:00,"[0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",60730085014,"{""060730166061"":4}","{""060730083272"":4,""060730166061"":4}","{""US"":4}",11738,76,"{""<5"":1,""5-20"":2,""21-60"":0,""61-240"":3,"">240"":1}",{},"{""Westfield"":33,""Arhaus"":17,""Sola Salon Studios"":17,""IZOD"":17,""Luna Grill"":17,""Ann Taylor"":17,""Adidas"":17,""Disney Store"":17,""Food 4 Less"":17,""Tuesday Morning"":17,""Jamba"":17,""Old Navy"":16,""Staples"":16,""Costco Gasoline"":16,""Simon mall"":16,""7-Eleven"":15,""United States Postal Service (USPS)"":15,""Costco Wholesale Corp."":15,""CVS"":14,""Target"":13}",60,60730085014
16,sg:93349a4c521c40739d77b4c3e5318f12,Catalyst,1755 N El Camino Real,San Clemente,CA,92672,US,,,2020-09-14T00:00:00-07:00,2020-09-21T00:00:00-07:00,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0]",60590421062,{},{},"{""US"":4}",,16,"{""<5"":0,""5-20"":5,""21-60"":1,""61-240"":2,"">240"":0}","{""Costco Gasoline"":100,""Pieology Pizzeria"":50}","{""Starbucks"":36,""Banzai Bowls"":20,""Pieology Pizzeria"":20,""Green Burrito"":20,""Auntie Anne's"":20,""Volkswagen"":20,""Subaru"":20,""76"":20,""Baskin Robbins"":20,""Costco Gasoline"":19,""QuikTrip"":19,""Circle K"":19,""Mobil"":19,""United States Postal Service (USPS)"":19,""Chevron"":18,""Wendy's"":18,""McDonald's"":11,""Walmart"":6}",60,60590421062
